"","YEAR","Type","Distinction","Area","Fish"
"256",1990,"Legal","Released","Saanich-Juan de Fuca",15954
"257",1990,"Legal","Released","WCVI offshore",NA
"258",1990,"Legal","Released","WCVI inshore",NA
"259",1991,"Legal","Released","North Island JST",NA
"260",1991,"Legal","Released","Northern GST",121222
"261",1991,"Legal","Released","Southern GST",36341
"262",1991,"Legal","Released","Saanich-Juan de Fuca",9516
"263",1991,"Legal","Released","WCVI offshore",NA
"264",1991,"Legal","Released","WCVI inshore",NA
"265",1992,"Legal","Released","North Island JST",NA
"266",1992,"Legal","Released","Northern GST",105117
"267",1992,"Legal","Released","Southern GST",34729
"268",1992,"Legal","Released","Saanich-Juan de Fuca",20650
"269",1992,"Legal","Released","WCVI offshore",NA
"270",1992,"Legal","Released","WCVI inshore",NA
"271",1993,"Legal","Released","North Island JST",NA
"272",1993,"Legal","Released","Northern GST",130527
"273",1993,"Legal","Released","Southern GST",40950
"274",1993,"Legal","Released","Saanich-Juan de Fuca",10634
"275",1993,"Legal","Released","WCVI offshore",NA
"276",1993,"Legal","Released","WCVI inshore",NA
"277",1994,"Legal","Released","North Island JST",NA
"278",1994,"Legal","Released","Northern GST",112954
"279",1994,"Legal","Released","Southern GST",24991
"280",1994,"Legal","Released","Saanich-Juan de Fuca",2998
"281",1994,"Legal","Released","WCVI offshore",NA
"282",1994,"Legal","Released","WCVI inshore",NA
"283",1995,"Legal","Released","North Island JST",NA
"284",1995,"Legal","Released","Northern GST",92244
"285",1995,"Legal","Released","Southern GST",16280
"286",1995,"Legal","Released","Saanich-Juan de Fuca",3800
"287",1995,"Legal","Released","WCVI offshore",NA
"288",1995,"Legal","Released","WCVI inshore",NA
"289",1996,"Legal","Released","North Island JST",NA
"290",1996,"Legal","Released","Northern GST",115851
"291",1996,"Legal","Released","Southern GST",48396
"292",1996,"Legal","Released","Saanich-Juan de Fuca",15437
"293",1996,"Legal","Released","WCVI offshore",NA
"294",1996,"Legal","Released","WCVI inshore",11384
"295",1997,"Legal","Released","North Island JST",NA
"296",1997,"Legal","Released","Northern GST",37835
"297",1997,"Legal","Released","Southern GST",21153
"298",1997,"Legal","Released","Saanich-Juan de Fuca",6433
"299",1997,"Legal","Released","WCVI offshore",NA
"300",1997,"Legal","Released","WCVI inshore",NA
"301",1998,"Legal","Released","North Island JST",NA
"302",1998,"Legal","Released","Northern GST",16194
"303",1998,"Legal","Released","Southern GST",8138
"304",1998,"Legal","Released","Saanich-Juan de Fuca",10452
"305",1998,"Legal","Released","WCVI offshore",NA
"306",1998,"Legal","Released","WCVI inshore",16267
"307",1999,"Legal","Released","North Island JST",NA
"308",1999,"Legal","Released","Northern GST",5145
"309",1999,"Legal","Released","Southern GST",8343
"310",1999,"Legal","Released","Saanich-Juan de Fuca",1479
"311",1999,"Legal","Released","WCVI offshore",NA
"312",1999,"Legal","Released","WCVI inshore",48929
"313",2000,"Legal","Released","North Island JST",338
"314",2000,"Legal","Released","Northern GST",1091
"315",2000,"Legal","Released","Southern GST",615
"316",2000,"Legal","Released","Saanich-Juan de Fuca",2255
"317",2000,"Legal","Released","WCVI offshore",NA
"318",2000,"Legal","Released","WCVI inshore",15247
"319",2001,"Legal","Released","North Island JST",508
"320",2001,"Legal","Released","Northern GST",1833
"321",2001,"Legal","Released","Southern GST",927
"322",2001,"Legal","Released","Saanich-Juan de Fuca",4885
"323",2001,"Legal","Released","WCVI offshore",4362
"324",2001,"Legal","Released","WCVI inshore",10996
"325",2002,"Legal","Released","North Island JST",368
"326",2002,"Legal","Released","Northern GST",3950
"327",2002,"Legal","Released","Southern GST",911
"328",2002,"Legal","Released","Saanich-Juan de Fuca",5595
"329",2002,"Legal","Released","WCVI offshore",9771
"330",2002,"Legal","Released","WCVI inshore",12701
"331",2003,"Legal","Released","North Island JST",1034
"332",2003,"Legal","Released","Northern GST",1316
"333",2003,"Legal","Released","Southern GST",1090
"334",2003,"Legal","Released","Saanich-Juan de Fuca",4028
"335",2003,"Legal","Released","WCVI offshore",16850
"336",2003,"Legal","Released","WCVI inshore",24920
"337",2004,"Legal","Released","North Island JST",4251
"338",2004,"Legal","Released","Northern GST",693
"339",2004,"Legal","Released","Southern GST",930
"340",2004,"Legal","Released","Saanich-Juan de Fuca",10108
"341",2004,"Legal","Released","WCVI offshore",14570
"342",2004,"Legal","Released","WCVI inshore",23918
"343",2005,"Legal","Released","North Island JST",3606
"344",2005,"Legal","Released","Northern GST",619
"345",2005,"Legal","Released","Southern GST",379
"346",2005,"Legal","Released","Saanich-Juan de Fuca",6988
"347",2005,"Legal","Released","WCVI offshore",17003
"348",2005,"Legal","Released","WCVI inshore",7660
"349",2006,"Legal","Released","North Island JST",365
"350",2006,"Legal","Released","Northern GST",406
"351",2006,"Legal","Released","Southern GST",16
